ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
37,Student_37,3.7,56,82.5,B,Pass,68.10000000000001
38,Student_38,1.9,58,42.2,D,Pass,40.72
39,Student_39,7.2,100,58.2,D,Pass,69.32000000000001
40,Student_40,5.0,97,55.8,D,Pass,62.879999999999995
41,Student_41,2.1,57,61.6,C,Pass,52.56
42,Student_42,5.5,99,45.3,D,Pass,57.98
43,Student_43,1.3,72,96.2,A,Pass,74.72
44,Student_44,9.2,78,73.2,C,Pass,77.92
45,Student_45,3.3,67,58.3,D,Pass,54.98
46,Student_46,7.0,80,63.8,C,Pass,68.28
47,Student_47,3.8,79,66.8,C,Pass,63.48
48,Student_48,5.7,88,76.0,B,Pass,74.60000000000001
49,Student_49,5.9,84,70.9,C,Pass,71.14
50,Student_50,2.7,67,95.2,A,Pass,75.92
51,Student_51,9.7,91,69.8,C,Pass,79.47999999999999
52,Student_52,8.0,88,99.5,A,Pass,93.3
53,Student_53,9.5,66,91.1,A,Pass,86.86
54,Student_54,9.1,63,52.5,D,Pass,62.3
55,Student_55,6.4,80,95.8,A,Pass,86.27999999999999
56,Student_56,9.3,73,47.0,D,Pass,61.4
57,Student_57,1.8,84,89.0,B,Pass,73.8
58,Student_58,2.8,93,62.8,C,Pass,61.88
59,Student_59,1.4,94,92.7,A,Pass,77.22
60,Student_60,3.9,83,92.1,A,Pass,79.66
61,Student_61,4.5,52,88.4,B,Pass,72.44
62,Student_62,3.4,86,87.4,B,Pass,76.44
63,Student_63,8.5,92,58.3,D,Pass,70.38
64,Student_64,4.2,89,44.9,D,Pass,53.13999999999999
65,Student_65,3.5,75,64.2,C,Pass,60.52
66,Student_66,5.9,72,50.4,D,Pass,56.44
67,Student_67,2.3,93,81.7,B,Pass,72.22
68,Student_68,8.2,88,60.8,C,Pass,70.47999999999999
69,Student_69,1.7,64,98.5,A,Pass,75.3
70,Student_70,9.9,98,78.5,B,Pass,86.5
71,Student_71,8.0,53,89.3,B,Pass,80.18
72,Student_72,2.8,78,48.0,D,Pass,50.0
73,Student_73,1.0,71,91.7,A,Pass,71.22
74,Student_74,8.3,74,95.4,A,Pass,88.64000000000001
75,Student_75,7.4,62,69.2,C,Pass,68.72
76,Student_76,7.6,67,76.4,B,Pass,74.44
77,Student_77,7.9,82,85.9,B,Pass,83.74
78,Student_78,1.7,65,50.5,D,Pass,46.699999999999996
79,Student_79,4.2,94,70.2,C,Pass,69.32000000000001
80,Student_80,2.0,91,63.9,C,Pass,60.53999999999999
81,Student_81,8.8,93,48.8,D,Pass,65.47999999999999
82,Student_82,6.6,51,62.1,C,Pass,60.66
83,Student_83,4.0,84,69.99137749737118,C,Pass,66.79482649842271
84,Student_84,1.6,91,41.5,D,Pass,46.3
85,Student_85,3.8,83,48.1,D,Pass,53.06
86,Student_86,3.9,79,97.8,A,Pass,82.27999999999999
87,Student_87,7.6,62,73.0,C,Pass,71.39999999999999
88,Student_88,6.7,62,97.9,A,Pass,84.54
89,Student_89,9.0,67,65.9,C,Pass,70.94
90,Student_90,5.2,81,58.7,D,Pass,61.82
91,Student_91,2.1,81,70.4,C,Pass,62.64
92,Student_92,7.4,84,66.4,C,Pass,71.44
93,Student_93,7.8,88,46.3,D,Pass,60.98
94,Student_94,6.1,95,78.4,B,Pass,78.24
95,Student_95,7.9,78,53.0,D,Pass,63.2
96,Student_96,5.4,98,77.2,B,Pass,76.72
97,Student_97,5.7,78,79.0,B,Pass,74.4
98,Student_98,4.8,93,49.1,D,Pass,57.660000000000004
99,Student_99,1.2,65,43.7,D,Pass,41.62
100,Student_100,2.0,93,86.8,B,Pass,74.68
101,Student_101,1.3,96,69.99137749737118,C,Pass,63.79482649842271
102,Student_102,6.7,59,43.5,D,Pass,51.3
103,Student_103,3.8,79,99.7,A,Pass,83.22
104,Student_104,5.6,74,43.5,D,Pass,52.099999999999994
105,Student_105,9.2,88,81.7,B,Pass,85.02000000000001
106,Student_106,3.2,69,99.0,A,Pass,79.60000000000001
107,Student_107,4.7,54,54.4,D,Pass,52.839999999999996
108,Student_108,7.8,50,48.5,D,Pass,54.699999999999996
109,Student_109,3.1,79,47.3,D,Pass,50.38
110,Student_110,1.7,98,58.2,D,Pass,57.92
111,Student_111,3.6,52,46.1,D,Pass,45.260000000000005
112,Student_112,2.5,94,81.5,B,Pass,72.7
113,Student_113,9.4,63,43.7,D,Pass,57.620000000000005
114,Student_114,8.3,79,70.6,C,Pass,74.75999999999999
115,Student_115,6.7,99,99.8,A,Pass,93.08
116,Student_116,8.8,53,88.8,B,Pass,81.47999999999999
117,Student_117,8.2,67,76.9,B,Pass,75.94
118,Student_118,2.7,86,58.4,D,Pass,57.63999999999999
119,Student_119,9.0,74,77.4,B,Pass,79.24000000000001
120,Student_120,5.9,97,71.6,C,Pass,74.16
121,Student_121,8.3,50,65.6,C,Pass,65.96
122,Student_122,9.1,95,47.8,D,Pass,65.88
123,Student_123,3.9,64,93.2,A,Pass,76.52
124,Student_124,2.0,58,67.0,C,Pass,55.8
125,Student_125,3.1,64,51.7,D,Pass,50.02
126,Student_126,4.8,98,62.1,C,Pass,66.46
127,Student_127,8.4,73,64.8,C,Pass,70.28
128,Student_128,8.7,53,89.7,B,Pass,81.82
129,Student_129,1.1,61,84.0,B,Pass,64.8
130,Student_130,5.6,86,86.2,B,Pass,80.12
131,Student_131,4.8,86,40.7,D,Pass,51.220000000000006
132,Student_132,3.0,92,65.0,C,Pass,63.400000000000006
133,Student_133,2.1,55,68.9,C,Pass,56.540000000000006
134,Student_134,4.0,88,41.2,D,Pass,50.32000000000001
135,Student_135,9.5,95,55.6,D,Pass,71.36
136,Student_136,3.9,73,85.6,B,Pass,73.75999999999999
137,Student_137,5.7,60,69.99137749737118,C,Pass,65.3948264984227
138,Student_138,7.3,62,72.1,C,Pass,70.25999999999999
139,Student_139,4.3,83,52.9,D,Pass,56.940000000000005
140,Student_140,9.7,74,40.7,D,Pass,58.62
141,Student_141,9.7,56,69.99137749737118,C,Pass,72.5948264984227
142,Student_142,3.3,53,98.6,A,Pass,76.35999999999999
143,Student_143,5.5,57,88.1,B,Pass,75.25999999999999
144,Student_144,3.7,69,97.6,A,Pass,79.76
145,Student_145,3.6,78,69.3,C,Pass,64.38
146,Student_146,1.3,100,46.6,D,Pass,50.56
147,Student_147,6.5,94,72.9,C,Pass,75.54
148,Student_148,5.5,95,67.3,C,Pass,70.38
149,Student_149,1.5,59,90.7,A,Pass,69.22
150,Student_150,3.5,92,45.9,D,Pass,52.94
151,Student_151,9.2,83,69.3,C,Pass,76.58
152,Student_152,3.2,75,49.0,D,Pass,50.8
153,Student_153,2.3,90,59.5,D,Pass,58.3
154,Student_154,5.4,98,84.2,B,Pass,80.92
155,Student_155,9.9,52,68.6,C,Pass,71.36
156,Student_156,3.2,55,62.6,C,Pass,54.96
157,Student_157,7.0,54,69.99137749737118,C,Pass,66.79482649842271
158,Student_158,7.9,54,67.6,C,Pass,67.16
159,Student_159,3.1,96,87.1,B,Pass,77.66000000000001
160,Student_160,7.6,72,93.5,A,Pass,85.7
161,Student_161,4.3,98,97.3,A,Pass,86.57999999999998
162,Student_162,6.7,58,87.2,B,Pass,77.32000000000001
163,Student_163,6.7,84,58.9,D,Pass,65.54
164,Student_164,5.8,69,81.3,B,Pass,74.17999999999999
165,Student_165,1.8,98,66.3,C,Pass,62.98
166,Student_166,8.5,91,55.3,D,Pass,68.38
167,Student_167,3.9,84,90.5,A,Pass,78.89999999999999
168,Student_168,2.7,99,42.3,D,Pass,50.58
169,Student_169,1.4,67,94.1,A,Pass,72.66
170,Student_170,6.3,66,67.7,C,Pass,66.42
171,Student_171,7.1,73,78.2,B,Pass,75.72
172,Student_172,1.1,52,79.6,B,Pass,60.36
173,Student_173,5.6,81,93.7,A,Pass,83.62
174,Student_174,3.0,84,78.2,B,Pass,69.72
175,Student_175,6.8,87,69.99137749737118,C,Pass,72.9948264984227
176,Student_176,2.6,62,44.0,D,Pass,44.0
177,Student_177,7.2,96,69.99137749737118,C,Pass,75.5948264984227
178,Student_178,4.5,74,49.0,D,Pass,53.2
179,Student_179,9.4,58,84.2,B,Pass,80.92
180,Student_180,2.2,53,70.7,C,Pass,57.42
181,Student_181,4.1,63,80.8,B,Pass,69.28
182,Student_182,2.0,86,42.5,D,Pass,46.7
183,Student_183,9.3,83,45.1,D,Pass,62.26
184,Student_184,8.9,60,83.0,B,Pass,79.6
185,Student_185,3.3,90,44.3,D,Pass,51.18
186,Student_186,6.9,52,44.3,D,Pass,50.78
187,Student_187,8.4,77,40.7,D,Pass,56.620000000000005
188,Student_188,6.0,78,97.4,A,Pass,86.03999999999999
189,Student_189,5.8,58,84.3,B,Pass,73.78
190,Student_190,3.2,52,61.2,C,Pass,53.519999999999996
191,Student_191,1.8,74,57.8,D,Pass,53.080000000000005
192,Student_192,9.1,83,61.0,C,Pass,71.4
193,Student_193,9.1,61,86.5,B,Pass,82.3
194,Student_194,6.7,91,79.7,B,Pass,79.42
195,Student_195,4.1,58,51.1,D,Pass,50.46000000000001
196,Student_196,4.1,64,50.4,D,Pass,51.239999999999995
197,Student_197,7.5,89,45.9,D,Pass,60.34
198,Student_198,9.1,74,69.99137749737118,C,Pass,74.99482649842271
199,Student_199,9.0,54,85.9,B,Pass,80.34
200,Student_200,8.0,60,55.9,D,Pass,61.54
201,Student_201,6.8,83,41.3,D,Pass,54.98
202,Student_202,1.8,73,44.9,D,Pass,45.14
203,Student_203,2.5,64,98.1,A,Pass,76.66
204,Student_204,9.1,87,57.7,D,Pass,70.22
205,Student_205,6.5,57,86.2,B,Pass,76.12
206,Student_206,1.1,54,77.5,B,Pass,59.5
207,Student_207,1.9,97,62.9,C,Pass,60.94
208,Student_208,7.0,75,52.3,D,Pass,60.379999999999995
209,Student_209,1.0,67,47.3,D,Pass,43.78
210,Student_210,2.4,55,76.9,B,Pass,61.94
211,Student_211,5.9,86,86.5,B,Pass,80.89999999999999
212,Student_212,7.2,97,78.6,B,Pass,80.96000000000001
213,Student_213,6.9,62,71.8,C,Pass,69.28
214,Student_214,3.0,77,42.5,D,Pass,46.9
215,Student_215,7.4,54,98.1,A,Pass,84.46
216,Student_216,3.1,62,87.9,B,Pass,71.34
217,Student_217,3.9,66,57.6,D,Pass,55.56
218,Student_218,7.7,99,69.99137749737118,C,Pass,77.19482649842271
219,Student_219,6.8,89,76.1,B,Pass,77.05999999999999
220,Student_220,8.6,94,74.9,C,Pass,80.94000000000001
221,Student_221,6.9,81,84.9,B,Pass,80.94
222,Student_222,6.1,78,88.7,B,Pass,81.02
223,Student_223,1.8,100,79.4,B,Pass,71.24
224,Student_224,4.3,52,47.7,D,Pass,47.620000000000005
225,Student_225,3.4,89,60.3,C,Pass,60.78
226,Student_226,3.2,83,95.7,A,Pass,80.42000000000002
227,Student_227,9.8,89,53.5,D,Pass,69.5
228,Student_228,4.5,76,62.3,C,Pass,61.58
229,Student_229,9.0,62,65.9,C,Pass,69.94
230,Student_230,6.7,94,66.4,C,Pass,72.04
231,Student_231,8.2,82,76.8,B,Pass,78.88
232,Student_232,5.5,55,96.6,A,Pass,79.96
233,Student_233,6.2,73,54.4,D,Pass,59.64
234,Student_234,5.4,68,47.3,D,Pass,52.78
235,Student_235,2.8,65,69.99137749737118,C,Pass,60.594826498422705
236,Student_236,7.5,89,93.2,A,Pass,88.72
237,Student_237,3.5,77,78.7,B,Pass,69.62
238,Student_238,1.2,82,57.2,D,Pass,53.12
239,Student_239,6.8,97,89.0,B,Pass,86.39999999999999
240,Student_240,2.6,90,91.7,A,Pass,78.22000000000001
241,Student_241,9.5,62,90.8,A,Pass,85.88
242,Student_242,9.6,92,95.1,A,Pass,94.66
243,Student_243,9.2,94,55.1,D,Pass,70.25999999999999
244,Student_244,4.3,74,85.3,B,Pass,74.58
245,Student_245,1.1,91,67.6,C,Pass,60.959999999999994
246,Student_246,9.4,85,90.5,A,Pass,90.1
247,Student_247,4.9,76,83.7,B,Pass,75.22
248,Student_248,9.7,87,86.6,B,Pass,88.75999999999999
249,Student_249,9.7,56,79.4,B,Pass,78.24000000000001
250,Student_250,8.7,54,50.6,D,Pass,58.559999999999995
251,Student_251,3.7,92,72.7,C,Pass,69.42
252,Student_252,4.5,94,99.1,A,Pass,87.25999999999999
253,Student_253,8.7,100,96.2,A,Pass,95.12
254,Student_254,3.9,80,42.6,D,Pass,49.36
255,Student_255,2.5,72,49.9,D,Pass,49.339999999999996
256,Student_256,6.0,91,47.9,D,Pass,58.94
257,Student_257,9.4,59,83.6,B,Pass,80.75999999999999
258,Student_258,7.3,81,89.1,B,Pass,84.25999999999999
259,Student_259,6.1,92,52.8,D,Pass,62.28
260,Student_260,1.9,79,70.4,C,Pass,61.84
261,Student_261,6.5,88,90.4,A,Pass,84.84
262,Student_262,9.9,80,84.0,B,Pass,86.2
263,Student_263,2.3,67,72.5,C,Pass,61.5
264,Student_264,5.7,85,75.4,B,Pass,73.64
265,Student_265,8.9,51,70.5,C,Pass,70.3
266,Student_266,7.7,63,57.9,D,Pass,62.739999999999995
267,Student_267,7.3,62,73.9,C,Pass,71.34
268,Student_268,7.3,78,81.3,B,Pass,78.97999999999999
269,Student_269,4.2,61,92.4,A,Pass,76.04
270,Student_270,3.6,88,78.2,B,Pass,71.72000000000001
271,Student_271,8.3,51,85.7,B,Pass,78.22
272,Student_272,8.3,81,49.6,D,Pass,62.559999999999995
273,Student_273,8.8,62,67.7,C,Pass,70.62
274,Student_274,9.2,95,40.6,D,Pass,61.76
275,Student_275,5.6,76,54.8,D,Pass,59.28
276,Student_276,5.5,98,83.6,B,Pass,80.75999999999999
277,Student_277,8.2,90,99.5,A,Pass,94.1
278,Student_278,6.8,66,46.0,D,Pass,54.4
279,Student_279,7.3,89,64.1,C,Pass,70.85999999999999
280,Student_280,8.2,80,88.0,B,Pass,85.19999999999999
281,Student_281,9.0,83,52.2,D,Pass,65.92
282,Student_282,4.0,73,73.3,C,Pass,66.58
283,Student_283,4.4,94,84.0,B,Pass,78.0
284,Student_284,1.8,84,77.0,B,Pass,66.6
285,Student_285,6.2,97,51.3,D,Pass,62.58
286,Student_286,1.3,55,61.3,C,Pass,50.379999999999995
287,Student_287,5.2,68,87.0,B,Pass,76.2
288,Student_288,5.9,79,73.3,C,Pass,71.58
289,Student_289,3.6,56,40.3,D,Pass,42.58
290,Student_290,6.3,59,85.7,B,Pass,75.82
291,Student_291,1.3,90,42.1,D,Pass,45.86000000000001
292,Student_292,1.3,81,84.7,B,Pass,69.61999999999999
293,Student_293,8.4,83,52.1,D,Pass,64.66
294,Student_294,4.2,77,97.5,A,Pass,82.30000000000001
295,Student_295,2.1,64,62.1,C,Pass,54.260000000000005
296,Student_296,5.7,79,59.6,D,Pass,62.96
297,Student_297,7.9,86,48.9,D,Pass,62.33999999999999
298,Student_298,2.9,78,58.3,D,Pass,56.379999999999995
299,Student_299,6.6,71,92.6,A,Pass,82.96
300,Student_300,1.8,53,99.8,A,Pass,74.07999999999998
301,Student_301,1.5,69,62.1,C,Pass,54.06
302,Student_302,5.8,81,66.9,C,Pass,67.94
303,Student_303,5.9,85,83.3,B,Pass,78.77999999999999
304,Student_304,6.7,99,93.2,A,Pass,89.12
305,Student_305,7.5,53,75.6,B,Pass,70.96
306,Student_306,9.8,76,63.5,C,Pass,72.9
307,Student_307,5.6,66,64.8,C,Pass,63.28
308,Student_308,3.9,61,81.7,B,Pass,69.02000000000001
309,Student_309,8.2,71,40.2,D,Pass,54.72
310,Student_310,3.4,66,77.2,B,Pass,66.32000000000001
311,Student_311,5.0,59,61.3,C,Pass,58.58
312,Student_312,1.7,50,87.7,B,Pass,66.02
313,Student_313,1.2,71,45.6,D,Pass,43.96
314,Student_314,9.7,75,75.3,B,Pass,79.58
315,Student_315,8.5,67,68.9,C,Pass,71.74000000000001
316,Student_316,7.3,99,78.5,B,Pass,81.5
317,Student_317,4.7,63,43.9,D,Pass,48.339999999999996
318,Student_318,2.6,96,74.8,C,Pass,69.28
319,Student_319,2.4,78,73.7,C,Pass,64.62
320,Student_320,3.3,61,73.6,C,Pass,62.96
321,Student_321,5.9,85,76.2,B,Pass,74.52
322,Student_322,7.4,84,80.6,B,Pass,79.96
323,Student_323,6.9,61,88.3,B,Pass,78.97999999999999
324,Student_324,3.5,56,56.2,D,Pass,51.92
325,Student_325,9.6,78,89.5,B,Pass,88.5
326,Student_326,7.6,60,69.9,C,Pass,69.14
327,Student_327,6.0,82,44.6,D,Pass,55.160000000000004
328,Student_328,6.5,55,43.5,D,Pass,50.099999999999994
329,Student_329,4.8,96,60.1,C,Pass,64.86
330,Student_330,3.2,64,87.1,B,Pass,71.46000000000001
331,Student_331,4.2,81,82.5,B,Pass,74.10000000000001
332,Student_332,7.8,100,87.3,B,Pass,87.97999999999999
333,Student_333,1.1,60,71.0,C,Pass,56.800000000000004
334,Student_334,2.0,72,66.4,C,Pass,58.24
335,Student_335,1.4,75,48.8,D,Pass,47.08
336,Student_336,1.4,83,59.7,D,Pass,55.22
337,Student_337,8.7,95,66.0,C,Pass,76.0
338,Student_338,7.3,83,45.3,D,Pass,58.38
339,Student_339,5.3,78,53.2,D,Pass,58.120000000000005
340,Student_340,1.9,53,75.9,B,Pass,59.94
341,Student_341,5.4,66,84.1,B,Pass,74.46
342,Student_342,5.3,84,99.9,A,Pass,87.33999999999999
343,Student_343,2.6,62,96.0,A,Pass,75.2
344,Student_344,4.9,90,78.6,B,Pass,74.96
345,Student_345,4.6,88,65.3,C,Pass,65.98
346,Student_346,6.5,64,78.2,B,Pass,72.72
347,Student_347,6.7,78,87.1,B,Pass,81.26
348,Student_348,1.4,78,47.1,D,Pass,46.66
349,Student_349,4.4,60,64.6,C,Pass,59.56
350,Student_350,6.6,81,90.4,A,Pass,83.64
351,Student_351,5.5,51,63.0,C,Pass,59.0
352,Student_352,8.7,96,74.3,C,Pass,81.18
353,Student_353,6.9,63,75.3,B,Pass,71.58
354,Student_354,2.5,69,51.1,D,Pass,49.46
355,Student_355,1.6,71,61.7,C,Pass,54.42000000000001
356,Student_356,6.8,60,60.1,C,Pass,61.660000000000004
357,Student_357,1.2,76,41.6,D,Pass,42.56
358,Student_358,6.3,52,41.5,D,Pass,47.9
359,Student_359,9.5,66,89.9,B,Pass,86.14
360,Student_360,6.2,93,56.4,D,Pass,64.84
361,Student_361,4.5,77,71.1,C,Pass,67.06
362,Student_362,6.8,78,57.9,D,Pass,63.94
363,Student_363,5.1,70,96.4,A,Pass,82.04
364,Student_364,5.9,96,55.6,D,Pass,64.36
365,Student_365,9.5,65,65.8,C,Pass,71.47999999999999
366,Student_366,4.5,86,92.4,A,Pass,81.64
367,Student_367,9.7,69,90.5,A,Pass,87.5
368,Student_368,9.1,55,51.2,D,Pass,59.92
369,Student_369,2.8,68,88.2,B,Pass,72.12
370,Student_370,1.6,54,67.5,C,Pass,54.5
371,Student_371,1.9,52,69.0,C,Pass,55.599999999999994
372,Student_372,1.2,50,48.0,D,Pass,41.199999999999996
373,Student_373,1.8,87,44.8,D,Pass,47.88
374,Student_374,7.1,64,83.7,B,Pass,77.22
375,Student_375,1.6,83,69.8,C,Pass,61.68
376,Student_376,3.9,84,66.2,C,Pass,64.32
377,Student_377,8.6,98,83.8,B,Pass,87.08
378,Student_378,1.2,74,85.9,B,Pass,68.74000000000001
379,Student_379,8.3,73,49.5,D,Pass,60.9
380,Student_380,3.5,61,76.6,B,Pass,65.16
381,Student_381,2.1,67,48.1,D,Pass,46.46
382,Student_382,7.3,64,85.1,B,Pass,78.46
383,Student_383,6.7,93,79.4,B,Pass,79.64000000000001
384,Student_384,8.9,65,97.4,A,Pass,89.24
385,Student_385,7.6,76,44.1,D,Pass,56.86
386,Student_386,8.2,57,43.4,D,Pass,53.839999999999996
387,Student_387,3.5,95,56.9,D,Pass,60.14
388,Student_388,2.6,74,55.7,D,Pass,53.42
389,Student_389,7.8,66,54.8,D,Pass,61.68
390,Student_390,8.3,78,94.4,A,Pass,88.84
391,Student_391,9.9,57,55.0,D,Pass,64.2
392,Student_392,4.7,64,56.3,D,Pass,55.98
393,Student_393,4.3,76,85.6,B,Pass,75.15999999999998
394,Student_394,8.0,95,67.0,C,Pass,75.19999999999999
395,Student_395,4.1,99,86.6,B,Pass,79.96
396,Student_396,9.4,56,43.9,D,Pass,56.34
397,Student_397,8.7,52,69.3,C,Pass,69.38
398,Student_398,4.9,78,42.0,D,Pass,50.599999999999994
399,Student_399,7.8,93,43.8,D,Pass,60.48
400,Student_400,7.8,73,94.4,A,Pass,86.84
401,Student_401,1.9,52,69.99137749737118,C,Pass,56.1948264984227
402,Student_402,9.1,69,71.9,C,Pass,75.14
403,Student_403,5.5,95,64.7,C,Pass,68.82
404,Student_404,8.4,64,60.8,C,Pass,66.08
405,Student_405,3.9,74,94.0,A,Pass,79.0
406,Student_406,9.1,79,41.3,D,Pass,58.78
407,Student_407,4.5,63,79.8,B,Pass,69.47999999999999
408,Student_408,1.1,56,97.8,A,Pass,72.08
409,Student_409,9.1,66,73.6,C,Pass,75.56
410,Student_410,1.8,93,96.2,A,Pass,79.91999999999999
411,Student_411,3.9,69,43.1,D,Pass,47.459999999999994
412,Student_412,9.6,85,65.1,C,Pass,75.25999999999999
413,Student_413,9.6,58,55.6,D,Pass,64.16
414,Student_414,6.2,87,83.8,B,Pass,80.08
415,Student_415,6.7,97,98.9,A,Pass,92.14000000000001
416,Student_416,5.0,71,55.4,D,Pass,57.44
417,Student_417,3.6,51,79.3,B,Pass,64.98
418,Student_418,4.0,73,51.9,D,Pass,53.739999999999995
419,Student_419,7.1,57,73.9,C,Pass,69.94
420,Student_420,7.8,60,67.8,C,Pass,68.28
421,Student_421,8.1,62,69.99137749737118,C,Pass,70.5948264984227
422,Student_422,8.1,66,76.5,B,Pass,75.3
423,Student_423,1.8,57,61.0,C,Pass,51.6
424,Student_424,5.4,70,46.8,D,Pass,52.879999999999995
425,Student_425,1.5,67,49.1,D,Pass,45.86
426,Student_426,5.9,79,53.5,D,Pass,59.7
427,Student_427,5.0,67,55.1,D,Pass,56.46
428,Student_428,9.0,95,69.99137749737118,C,Pass,78.9948264984227
429,Student_429,4.2,96,73.7,C,Pass,71.82000000000001
430,Student_430,2.1,80,71.4,C,Pass,63.040000000000006
431,Student_431,2.3,87,46.9,D,Pass,50.14
432,Student_432,7.9,81,91.6,A,Pass,86.96
433,Student_433,6.6,60,83.4,B,Pass,75.24
434,Student_434,1.9,94,44.1,D,Pass,49.06
435,Student_435,1.8,74,82.5,B,Pass,67.89999999999999
436,Student_436,7.3,82,72.6,C,Pass,74.55999999999999
437,Student_437,1.7,87,44.9,D,Pass,47.74
438,Student_438,8.4,90,67.5,C,Pass,75.3
439,Student_439,7.4,57,69.1,C,Pass,67.66
440,Student_440,1.7,60,49.9,D,Pass,45.339999999999996
441,Student_441,1.8,71,96.7,A,Pass,75.82
442,Student_442,9.9,100,91.0,A,Pass,94.39999999999999
443,Student_443,4.4,73,80.1,B,Pass,71.46
444,Student_444,4.3,90,67.7,C,Pass,67.22
445,Student_445,8.3,66,64.7,C,Pass,68.62
446,Student_446,9.5,61,79.1,B,Pass,78.66
447,Student_447,9.9,95,72.7,C,Pass,82.42
448,Student_448,7.8,81,43.7,D,Pass,58.02
449,Student_449,4.4,64,70.8,C,Pass,64.08
450,Student_450,1.8,65,88.4,B,Pass,69.63999999999999
451,Student_451,8.0,71,67.6,C,Pass,70.75999999999999
452,Student_452,6.0,77,69.99137749737118,C,Pass,69.3948264984227
453,Student_453,4.8,69,87.2,B,Pass,75.72
454,Student_454,9.2,82,52.1,D,Pass,66.06
455,Student_455,2.0,59,55.5,D,Pass,49.099999999999994
456,Student_456,5.4,89,49.9,D,Pass,58.53999999999999
457,Student_457,1.1,81,59.8,D,Pass,54.28
458,Student_458,5.2,99,85.4,B,Pass,81.44000000000001
459,Student_459,1.5,82,71.2,C,Pass,62.120000000000005
460,Student_460,2.1,51,52.3,D,Pass,45.78
461,Student_461,2.1,82,92.7,A,Pass,76.22
462,Student_462,6.8,82,92.8,A,Pass,85.67999999999999
463,Student_463,7.7,90,92.2,A,Pass,88.72
464,Student_464,6.3,62,54.3,D,Pass,57.58
465,Student_465,9.7,79,67.1,C,Pass,75.46000000000001
466,Student_466,4.4,82,99.1,A,Pass,84.66
467,Student_467,3.6,62,86.3,B,Pass,71.38
468,Student_468,8.8,75,41.6,D,Pass,57.56
469,Student_469,3.0,71,43.9,D,Pass,46.54
470,Student_470,9.7,88,67.8,C,Pass,77.68
471,Student_471,1.1,51,69.99137749737118,C,Pass,54.39482649842271
472,Student_472,9.7,87,72.3,C,Pass,80.18
473,Student_473,1.4,88,69.9,C,Pass,62.34
474,Student_474,9.0,75,46.3,D,Pass,60.78
475,Student_475,5.7,95,79.4,B,Pass,78.04
476,Student_476,9.9,99,89.3,B,Pass,93.17999999999999
477,Student_477,1.7,64,62.8,C,Pass,53.88
478,Student_478,6.0,83,86.5,B,Pass,80.5
479,Student_479,9.7,91,97.9,A,Pass,96.34
480,Student_480,5.7,93,52.2,D,Pass,61.32
481,Student_481,6.7,98,71.4,C,Pass,75.84
482,Student_482,7.3,89,57.2,D,Pass,66.72
483,Student_483,5.1,60,87.6,B,Pass,74.76
484,Student_484,6.6,52,74.7,C,Pass,68.42
485,Student_485,6.3,55,78.1,B,Pass,70.46
486,Student_486,9.1,58,87.9,B,Pass,82.54
487,Student_487,1.4,55,63.8,C,Pass,52.07999999999999
488,Student_488,3.5,58,94.9,A,Pass,75.54
489,Student_489,9.6,88,72.0,C,Pass,80.0
490,Student_490,9.0,80,49.5,D,Pass,63.7
