ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
894,Student_894,4.6,96,91.2,A,Pass,83.12
896,Student_896,2.8,71,90.8,A,Pass,74.27999999999999
897,Student_897,3.6,70,93.6,A,Pass,77.36
899,Student_899,1.1,77,93.0,A,Pass,73.4
903,Student_903,2.6,64,95.6,A,Pass,75.36
915,Student_915,6.0,99,97.4,A,Pass,90.24
930,Student_930,3.3,98,90.8,A,Pass,80.67999999999999
941,Student_941,3.5,84,96.9,A,Pass,81.94
943,Student_943,6.9,56,97.3,A,Pass,83.38
957,Student_957,5.7,91,95.8,A,Pass,87.08
959,Student_959,2.5,90,94.4,A,Pass,79.64
964,Student_964,4.5,95,98.7,A,Pass,87.22
969,Student_969,6.1,91,93.3,A,Pass,86.38
998,Student_998,2.2,99,90.4,A,Pass,78.44000000000001
